import time: self [us] | cumulative | imported package
import time:       144 |        144 |                 _pyrepl
import time:       297 |        441 |               _pyrepl.pager
import time:      1687 |       5558 |             pydoc
import time:       900 |       6458 |           scipy._lib._docscrape
import time:      1334 |      98347 |         scipy._lib._array_api
import time:       133 |        133 |         scipy.special._spfun_stats
import time:     16302 |     115737 |       scipy.special._support_alternative_backends
import time:       730 |        730 |       scipy.special._logsumexp
import time:       281 |        281 |       scipy.special._multiufuncs
import time:       348 |        348 |       scipy.special._orthogonal
import time:        95 |         95 |       scipy.special._ellip_harm
import time:        50 |         50 |       scipy.special._lambertw
import time:       110 |        110 |       scipy.special._spherical_bessel
import time:        87 |         87 |         scipy._lib.deprecation
import time:        85 |        171 |       scipy.special.add_newdocs
import time:        63 |         63 |       scipy.special.basic
import time:        68 |         68 |       scipy.special.orthogonal
import time:        46 |         46 |       scipy.special.specfun
import time:        44 |         44 |       scipy.special.sf_error
import time:        37 |         37 |       scipy.special.spfun_stats
import time:      5717 |     154477 |     scipy.special
import time:        95 |         95 |         packaging
import time:        95 |         95 |         packaging._structures
import time:      2908 |       3096 |       packaging.version
import time:       260 |        260 |           _socket
import time:       198 |        198 |           array
import time:       811 |       1268 |         socket
import time:       427 |        427 |         psutil._common
import time:      1418 |       1418 |         psutil._ntuples
import time:       119 |        119 |           resource
import time:       317 |        317 |           psutil._psposix
import time:       150 |        150 |           psutil._psutil_linux
import time:      1243 |       1827 |         psutil._pslinux
import time:       735 |       5674 |       psutil
import time:       116 |        116 |         jax.version
import time:        66 |         66 |           jax._src
import time:       357 |        357 |             jax._src.deprecations
import time:        97 |         97 |                   jaxlib.version
import time:        89 |        185 |                 jaxlib
import time:       149 |        149 |                 jaxlib.cpu_feature_guard
import time:     12090 |      12090 |                   jaxlib._jax
import time:       393 |      12482 |                 jaxlib.xla_client
import time:        48 |         48 |                   jaxlib.cpu
import time:       395 |        395 |                   jaxlib.cpu._lapack
import time:       194 |        636 |                 jaxlib.lapack
import time:       170 |        170 |                 jaxlib.utils
import time:        50 |         50 |                     jaxlib.mlir
import time:      2618 |       2618 |                     jaxlib.mlir._mlir_libs._mlir
import time:       369 |       3035 |                   jaxlib.mlir._mlir_libs
import time:       149 |       3183 |                 jaxlib.mlir._mlir_libs._jax_mlir_ext
import time:       163 |        163 |                 jaxlib._profiler
import time:       111 |        111 |                 jaxlib._profile_data
import time:       147 |        147 |                   jaxlib.cpu._sparse
import time:        96 |        243 |                 jaxlib.cpu_sparse
import time:       122 |        122 |                 jaxlib.weakref_lru_cache
import time:       274 |        274 |                 jaxlib._pretty_printer
import time:       129 |        129 |                 jaxlib._ifrt_proxy
import time:        66 |         66 |                   jaxlib.plugin_support
import time:      1027 |       1093 |                 jaxlib.gpu_solver
import time:       382 |        382 |                 jaxlib.gpu_sparse
import time:       316 |        316 |                 jaxlib.gpu_prng
import time:       364 |        364 |                 jaxlib.gpu_linalg
import time:       180 |        180 |                   jaxlib.mlir.ir
import time:        42 |         42 |                     jaxlib.mlir.dialects
import time:       446 |        446 |                       jaxlib.mlir.dialects._ods_common
import time:      4100 |       4545 |                     jaxlib.mlir.dialects._stablehlo_ops_gen
import time:       706 |        706 |                     jaxlib.mlir._mlir_libs._stablehlo
import time:       223 |       5514 |                   jaxlib.mlir.dialects.stablehlo
import time:        90 |         90 |                   jaxlib.gpu_common_utils
import time:       467 |       6249 |                 jaxlib.gpu_rnn
import time:      1142 |       1142 |                 jaxlib.gpu_triton
import time:        49 |         49 |                     jaxlib.mosaic
import time:        86 |        135 |                   jaxlib.mosaic.python
import time:        38 |         38 |                       jaxlib.mosaic.dialect
import time:        70 |        108 |                     jaxlib.mosaic.dialect.gpu
import time:      1409 |       1516 |                   jaxlib.mosaic.dialect.gpu._mosaic_gpu_gen_ops
import time:       525 |        525 |                   jaxlib.mosaic.dialect.gpu._mosaic_gpu_gen_enums
import time:       392 |        392 |                   jaxlib.mlir._mlir_libs._mosaic_gpu_ext
import time:       223 |       2789 |                 jaxlib.mosaic.python.mosaic_gpu
import time:       664 |        664 |                   jaxlib.mosaic.python._tpu_enum_gen
import time:      2671 |       2671 |                   jaxlib.mosaic.python._tpu_ops_gen
import time:       176 |        176 |                   jaxlib.mlir._mlir_libs._tpu_ext
import time:       243 |       3753 |                 jaxlib.mosaic.python.tpu
import time:      1203 |      35128 |               jax._src.lib
import time:       144 |      35272 |             jax._src.logging_config
import time:      2832 |      38459 |           jax._src.config
import time:       187 |        187 |           jax._src.hardware_utils
import time:       269 |      38980 |         jax._src.cloud_tpu_init
import time:        50 |         50 |         libtpu
import time:      1705 |       1705 |                   ml_dtypes._ml_dtypes_ext
import time:       447 |       2152 |                 ml_dtypes._finfo
import time:       112 |        112 |                 ml_dtypes._iinfo
import time:       166 |       2428 |               ml_dtypes
import time:       135 |        135 |               jax._src.literals
import time:       506 |        506 |                   jax._src.util
import time:       186 |        692 |                 jax._src.basearray
import time:       287 |        978 |               jax._src.typing
import time:        41 |         41 |                 jax._src.repro
import time:       260 |        300 |               jax._src.traceback_util
import time:      1266 |       5105 |             jax._src.dtypes
import time:       145 |        145 |             jax._src.effects
import time:        99 |         99 |                     jax._src.clusters.cluster
import time:       239 |        239 |                     jax._src.clusters.ompi_cluster
import time:       129 |        129 |                     jax._src.clusters.slurm_cluster
import time:        84 |         84 |                     jax._src.clusters.mpi4py_cluster
import time:       149 |        149 |                     jax._src.clusters.cloud_tpu_cluster
import time:       249 |        249 |                     jax._src.clusters.k8s_cluster
import time:       195 |       1141 |                   jax._src.clusters
import time:       170 |       1310 |                 jax._src.distributed
import time:        62 |         62 |                 jax_plugins
import time:       762 |       2134 |               jax._src.xla_bridge
import time:       949 |       3082 |             jax._src.mesh
import time:       181 |        181 |             jax._src.partition_spec
import time:       202 |        202 |             jax._src.errors
import time:       796 |        796 |               jax._src.tree_util
import time:       655 |       1450 |             jax._src.linear_util
import time:       887 |        887 |             jax._src.source_info_util
import time:       131 |        131 |             jax._src.pretty_printer
import time:        50 |         50 |                   jaxlib.mlir.passmanager
import time:       113 |        162 |                 jax._src.lib.mlir
import time:        58 |         58 |                 jax._src.lazy_loader
import time:       181 |        181 |                   jaxlib.mlir._mlir_libs._sdyMpmd
import time:       637 |        637 |                   jaxlib.mlir.dialects._mpmd_ops_gen
import time:       111 |        928 |                 jaxlib.mlir.dialects.mpmd
import time:       299 |        299 |                   jaxlib.mlir._mlir_libs._sdy
import time:       203 |        203 |                   jaxlib.mlir.dialects._sdy_enums_gen
import time:       858 |        858 |                   jaxlib.mlir.dialects._sdy_ops_gen
import time:       168 |       1526 |                 jaxlib.mlir.dialects.sdy
import time:       158 |       2830 |               jax._src.lib.mlir.dialects
import time:       103 |        103 |                 jax._src.op_shardings
import time:       225 |        328 |               jax._src.sharding
import time:       850 |       4006 |             jax._src.named_sharding
import time:       148 |        148 |             jax._src.layout
import time:       124 |        124 |             jax._src.memory
import time:        74 |         74 |             jax._src.xla_metadata_lib
import time:      5007 |      20538 |           jax._src.core
import time:       152 |      20690 |         jax.core
import time:        82 |         82 |           jax._src.tree
import time:        98 |        180 |         jax.tree
import time:        52 |         52 |         jax.typing
import time:        66 |         66 |         jax._src.environment_info
import time:       120 |        120 |                   jax._src.ad_util
import time:      2102 |       2222 |                 jax._src.state.types
import time:        99 |       2320 |               jax._src.state
import time:        20 |       2340 |             jax._src.state.types
import time:       317 |       2656 |           jax._src.api_util
import time:        78 |         78 |             jax._src.interpreters
import time:       124 |        124 |               jax._src.frozen_dict
import time:        70 |         70 |               jax._src.hashable_array
import time:       244 |        244 |                 gzip
import time:        35 |         35 |                   etils
import time:       126 |        161 |                 jax._src.path
import time:       180 |        584 |               jax._src.jaxpr_util
import time:       107 |        107 |                 jax._src.sharding_specs
import time:       337 |        337 |                 jax._src.mesh_utils
import time:      1674 |       2117 |               jax._src.sharding_impls
import time:       407 |        407 |                     http
import time:       140 |        140 |                       email._parseaddr
import time:       456 |        595 |                     email.utils
import time:       642 |        642 |                       html.entities
import time:       254 |        895 |                     html
import time:       247 |        247 |                           email.errors
import time:       218 |        218 |                               email.quoprimime
import time:       137 |        137 |                               email.base64mime
import time:       109 |        109 |                                   quopri
import time:        87 |        195 |                                 email.encoders
import time:       230 |        425 |                               email.charset
import time:       503 |       1282 |                             email.header
import time:       198 |       1479 |                           email._policybase
import time:       358 |       2084 |                         email.feedparser
import time:       163 |       2247 |                       email.parser
import time:       181 |        181 |                         email._encoded_words
import time:       104 |        104 |                         email.iterators
import time:       427 |        711 |                       email.message
import time:       999 |        999 |                         _ssl
import time:      1462 |       2460 |                       ssl
import time:       808 |       6225 |                     http.client
import time:        39 |         39 |                       _winapi
import time:        31 |         31 |                       winreg
import time:       331 |        401 |                     mimetypes
import time:       423 |        423 |                     socketserver
import time:       513 |       9456 |                   http.server
import time:       255 |       9711 |                 jax._src.profiler
import time:      2138 |      11849 |               jax._src.interpreters.partial_eval
import time:       315 |        315 |               jaxlib.mlir.dialects._func_ops_gen
import time:      4224 |      19281 |             jax._src.interpreters.mlir
import time:      1325 |      20683 |           jax._src.stages
import time:       218 |        218 |                   jax._src.cache_key
import time:        35 |         35 |                     compression
import time:        32 |         32 |                     zstandard
import time:       169 |        169 |                     jax._src.monitoring
import time:        67 |         67 |                     jax._src.compilation_cache_interface
import time:        73 |         73 |                           filelock._error
import time:       589 |        662 |                         filelock._api
import time:       260 |        260 |                               asyncio.constants
import time:       199 |        199 |                               asyncio.coroutines
import time:       349 |        349 |                                 asyncio.format_helpers
import time:        94 |         94 |                                   asyncio.base_futures
import time:       119 |        119 |                                   asyncio.exceptions
import time:       128 |        128 |                                   asyncio.base_tasks
import time:       350 |        690 |                                 _asyncio
import time:       603 |       1641 |                               asyncio.events
import time:       365 |        365 |                               asyncio.futures
import time:       263 |        263 |                               asyncio.protocols
import time:       165 |        165 |                                 asyncio.transports
import time:        66 |         66 |                                 asyncio.log
import time:       673 |        902 |                               asyncio.sslproto
import time:        60 |         60 |                                   asyncio.mixins
